visit_id,user_id,channel_id,platform,stat_date,pv,click,quit,stay_duration
6488,USER0207,QD1012,IOS,2015-09-17,10,3,4,1188
5095,USER0208,QD1018,IOS,2015-09-17,15,2,4,1044
9775,USER0209,QD1012,移动浏览器,2015-09-17,10,4,5,648
9104,USER0210,QD1002,IOS,2015-09-18,12,5,4,1188
8885,USER0211,QD1006,IOS,2015-09-18,6,3,4,180
7284,USER0212,QD1017,Android,2015-09-18,12,4,4,972
2740,USER0213,QD1017,IOS,2015-09-18,12,5,4,324
4407,USER0214,QD1012,IOS,2015-09-18,13,6,4,576
4217,USER0215,QD1007,移动浏览器,2015-09-18,13,1,4,828
8664,USER0216,QD1021,Android,2015-09-19,11,3,4,1692
3609,USER0217,QD1006,Android,2015-09-19,7,1,4,1260
5577,USER0218,QD1021,Android,2015-09-19,8,5,4,432
7439,USER0219,QD1006,IOS,2015-09-19,12,1,4,468
9282,USER0220,QD1007,IOS,2015-09-19,15,6,4,756
2985,USER0221,QD1006,IOS,2015-09-19,9,3,4,972
6765,USER0222,QD1009,IOS,2015-09-19,9,2,4,576
6462,USER0223,QD1006,移动浏览器,2015-09-19,7,4,5,684
5621,USER0224,QD1005,移动浏览器,2015-09-19,8,4,4,1404
6779,USER0225,QD1004,IOS,2015-09-20,11,2,4,252
4102,USER0226,QD1002,IOS,2015-09-20,14,4,4,468
8262,USER0227,QD1011,IOS,2015-09-20,7,3,4,1764
1506,USER0228,QD1021,IOS,2015-09-21,6,3,4,0
5124,USER0229,QD1020,移动浏览器,2015-09-21,12,2,4,1620
6419,USER0230,QD1021,移动浏览器,2015-09-21,7,4,4,792
5638,USER0231,QD1019,Android,2015-09-22,11,4,4,1296
2268,USER0232,QD1009,Android,2015-09-22,14,4,4,900
7548,USER0233,QD1003,Android,2015-09-22,9,4,4,108
9600,USER0234,QD1005,IOS,2015-09-22,12,4,4,828
1761,USER0235,QD1008,Android,2015-09-23,8,3,5,684
5253,USER0236,QD1014,IOS,2015-09-23,9,3,4,900
8823,USER0237,QD1012,IOS,2015-09-23,13,4,4,936
9534,USER0238,QD1018,移动浏览器,2015-09-23,5,3,4,612
2723,USER0239,QD1003,IOS,2015-09-24,7,4,4,1728
2949,USER0240,QD1016,Android,2015-09-24,10,2,4,576
9546,USER0241,QD1018,IOS,2015-09-24,10,6,4,1332
5604,USER0242,QD1017,IOS,2015-09-24,9,3,4,720
7303,USER0243,QD1010,Android,2015-09-24,10,3,4,1584
4051,USER0244,QD1007,Android,2015-09-24,15,2,4,612
6541,USER0245,QD1022,IOS,2015-09-24,8,4,4,1548
2693,USER0246,QD1007,IOS,2015-09-24,12,3,4,324
7272,USER0247,QD1014,Android,2015-09-25,7,4,4,828
1037,USER0248,QD1007,Android,2015-09-25,13,6,4,72
9630,USER0249,QD1010,Android,2015-09-25,9,2,4,684
9016,USER0250,QD1020,IOS,2015-09-25,7,4,4,1188
7013,USER0251,QD1002,IOS,2015-09-25,15,2,4,0
7339,USER0252,QD1004,移动浏览器,2015-09-25,12,3,4,324
3266,USER0253,QD1010,移动浏览器,2015-09-25,5,3,4,108
8490,USER0254,QD1005,Android,2015-09-26,10,6,4,360
6390,USER0255,QD1022,IOS,2015-09-26,6,5,4,504
2011,USER0256,QD1009,Android,2015-09-26,9,1,4,180
9610,USER0257,QD1004,IOS,2015-09-26,10,5,4,1296
8844,USER0258,QD1006,Android,2015-09-27,10,1,4,432
1508,USER0259,QD1011,Android,2015-09-28,7,3,5,468
1449,USER0260,QD1002,IOS,2015-09-28,15,2,4,648
3200,USER0261,QD1016,IOS,2015-09-29,6,5,4,1584
2158,USER0262,QD1018,IOS,2015-09-29,13,5,4,396
3022,USER0263,QD1010,Android,2015-09-29,8,3,4,288
5909,USER0264,QD1019,Android,2015-09-29,13,2,4,792
2033,USER0001,QD1020,Android,2015-09-29,7,5,4,1116
5838,USER0002,QD1005,IOS,2015-09-29,8,3,5,1404
4459,USER0003,QD1013,Android,2015-09-30,13,9,3,7632
2374,USER0004,QD1002,Android,2015-09-30,22,14,4,7560
9344,USER0005,QD1014,Android,2015-09-30,11,12,3,4788
5513,USER0006,QD1014,IOS,2015-09-30,24,13,4,11088
1044,USER0007,QD1016,IOS,2015-09-30,13,12,3,13320
5542,USER0008,QD1021,IOS,2015-09-30,27,12,5,13176
8115,USER0009,QD1010,IOS,2015-09-30,30,9,5,5184
2727,USER0010,QD1015,IOS,2015-10-01,28,9,5,6768
1448,USER0011,QD1014,Android,2015-10-01,25,15,5,11772
9348,USER0012,QD1011,IOS,2015-10-01,19,9,4,10908
4709,USER0013,QD1008,IOS,2015-10-01,22,14,4,7812
1639,USER0014,QD1005,Android,2015-10-01,20,11,4,8748
3602,USER0015,QD1007,Android,2015-10-01,18,10,4,11520
4039,USER0016,QD1014,IOS,2015-10-01,26,10,5,7812
7307,USER0017,QD1015,Android,2015-10-01,23,12,4,7560
4933,USER0018,QD1022,移动浏览器,2015-10-01,17,4,4,9180
9317,USER0019,QD1005,IOS,2015-10-01,18,12,4,7164
3833,USER0020,QD1020,IOS,2015-10-01,23,8,4,12312
9204,USER0021,QD1002,IOS,2015-10-01,30,11,5,11412
1596,USER0022,QD1003,IOS,2015-10-01,22,7,4,10692
3864,USER0023,QD1010,Android,2015-10-01,17,7,4,4788
4320,USER0024,QD1020,IOS,2015-10-01,13,8,3,11016
4718,USER0025,QD1004,IOS,2015-10-01,20,8,4,11988
3512,USER0026,QD1019,IOS,2015-10-01,28,8,5,4176
6882,USER0027,QD1011,IOS,2015-10-01,20,11,4,8136
9091,USER0028,QD1007,IOS,2015-10-01,23,5,5,1152
9687,USER0029,QD1018,IOS,2015-10-01,17,5,5,288
5512,USER0030,QD1009,Android,2015-10-01,16,1,5,1332
8314,USER0031,QD1010,IOS,2015-10-01,20,2,6,324
7392,USER0032,QD1004,IOS,2015-10-01,12,2,5,864
3500,USER0033,QD1001,IOS,2015-10-01,14,5,5,576
5509,USER0034,QD1018,IOS,2015-10-01,11,5,5,1620
5694,USER0035,QD1009,移动浏览器,2015-10-01,18,2,5,360
7944,USER0036,QD1011,IOS,2015-10-01,24,1,6,1548
1296,USER0037,QD1022,IOS,2015-10-01,12,4,5,324
3848,USER0038,QD1010,移动浏览器,2015-10-01,9,3,5,468
2193,USER0039,QD1019,Android,2015-10-02,29,10,5,13284
5201,USER0040,QD1015,Android,2015-10-02,25,8,5,12348
1457,USER0041,QD1004,Android,2015-10-02,10,11,3,10044
3398,USER0042,QD1013,Android,2015-10-02,14,6,3,5616
8340,USER0043,QD1011,Android,2015-10-02,25,6,5,7776
9193,USER0044,QD1014,Android,2015-10-02,19,7,4,5868
6663,USER0045,QD1003,Android,2015-10-02,14,6,3,14112
8403,USER0046,QD1012,Android,2015-10-02,25,9,5,11664
2440,USER0047,QD1005,IOS,2015-10-02,16,7,4,9144
2285,USER0048,QD1010,IOS,2015-10-02,16,10,4,11196
7620,USER0049,QD1015,IOS,2015-10-02,20,15,4,11700
2966,USER0050,QD1022,IOS,2015-10-02,24,15,4,12132
2768,USER0051,QD1013,IOS,2015-10-02,13,13,3,3780
4043,USER0052,QD1017,IOS,2015-10-02,16,11,4,4680
8962,USER0053,QD1012,IOS,2015-10-02,11,11,3,7884
6216,USER0054,QD1013,IOS,2015-10-02,18,9,4,6768
2546,USER0055,QD1014,IOS,2015-10-02,11,13,3,11376
6494,USER0056,QD1013,IOS,2015-10-02,28,14,5,4860
7769,USER0057,QD1004,IOS,2015-10-02,16,13,4,9000
4022,USER0058,QD1009,IOS,2015-10-02,14,9,3,7020
7626,USER0059,QD1010,IOS,2015-10-02,17,11,4,7164
3225,USER0060,QD1010,IOS,2015-10-02,12,13,3,10296
6079,USER0061,QD1015,IOS,2015-10-02,26,7,5,10476
5336,USER0062,QD1004,IOS,2015-10-02,19,14,4,7092
7384,USER0063,QD1008,IOS,2015-10-02,26,13,5,12888
7517,USER0064,QD1009,IOS,2015-10-02,24,9,4,4500
5332,USER0065,QD1011,IOS,2015-10-02,17,7,4,3744
5272,USER0066,QD1010,IOS,2015-10-02,21,10,4,8100
2696,USER0067,QD1010,IOS,2015-10-02,18,8,4,5724
3751,USER0068,QD1017,移动浏览器,2015-10-02,13,1,3,13932
4697,USER0069,QD1008,Android,2015-10-03,14,8,3,11196
8894,USER0070,QD1003,Android,2015-10-03,19,6,4,5580
8958,USER0071,QD1020,Android,2015-10-03,15,10,4,7524
7987,USER0072,QD1012,Android,2015-10-03,18,14,4,11232
3884,USER0073,QD1013,Android,2015-10-03,17,11,4,8892
8716,USER0074,QD1014,Android,2015-10-03,11,7,3,9000
4855,USER0075,QD1013,Android,2015-10-03,23,13,4,9756
9442,USER0076,QD1012,Android,2015-10-03,20,7,4,12672
5978,USER0077,QD1002,Android,2015-10-03,10,8,3,11664
4650,USER0078,QD1010,Android,2015-10-03,20,7,4,9252
2737,USER0079,QD1016,IOS,2015-10-03,19,13,4,9504
2399,USER0080,QD1016,IOS,2015-10-03,15,14,4,11664
6146,USER0081,QD1019,IOS,2015-10-03,28,14,5,9000
7917,USER0082,QD1004,IOS,2015-10-03,10,7,3,12060
7121,USER0083,QD1005,IOS,2015-10-03,23,14,4,5904
6858,USER0084,QD1020,IOS,2015-10-03,20,11,4,7308
5388,USER0085,QD1021,IOS,2015-10-03,18,14,4,13644
5335,USER0086,QD1006,IOS,2015-10-03,18,8,4,6660
1618,USER0087,QD1014,IOS,2015-10-03,14,8,3,7452
4011,USER0088,QD1009,IOS,2015-10-03,15,7,4,9720
1597,USER0089,QD1018,IOS,2015-10-03,12,15,3,6912
8567,USER0090,QD1017,IOS,2015-10-03,23,14,4,10944
8282,USER0091,QD1009,IOS,2015-10-03,27,14,5,7740
5506,USER0092,QD1001,IOS,2015-10-03,27,9,5,3672
1726,USER0093,QD1014,IOS,2015-10-03,20,11,4,4248
9451,USER0094,QD1006,IOS,2015-10-03,18,13,4,12996
2543,USER0095,QD1008,Android,2015-10-04,25,6,5,12996
6109,USER0096,QD1015,Android,2015-10-04,25,14,5,7128
1890,USER0097,QD1016,Android,2015-10-04,17,6,4,6696
8206,USER0098,QD1018,Android,2015-10-04,12,11,3,8208
7645,USER0099,QD1002,Android,2015-10-04,18,8,4,11952
3836,USER0100,QD1016,Android,2015-10-04,14,8,3,10692
9090,USER0101,QD1014,Android,2015-10-04,25,12,5,14328
7174,USER0102,QD1019,Android,2015-10-04,20,12,4,5328
6021,USER0103,QD1002,Android,2015-10-04,19,9,4,4788
7242,USER0104,QD1009,Android,2015-10-04,16,13,4,12312
3675,USER0001,QD1015,IOS,2015-07-01,9,5,4,252
4069,USER0002,QD1017,Android,2015-07-01,14,3,3,108
4280,USER0003,QD1004,Android,2015-07-01,8,4,3,1224
6017,USER0004,QD1022,IOS,2015-07-01,8,2,3,1584
5811,USER0005,QD1009,IOS,2015-07-01,12,6,4,972
7592,USER0006,QD1020,Android,2015-07-02,5,4,3,144
8689,USER0007,QD1022,IOS,2015-07-02,11,3,3,1404
6969,USER0008,QD1012,Android,2015-07-02,9,4,3,1008
6788,USER0009,QD1012,IOS,2015-07-02,11,4,3,396
9019,USER0010,QD1006,IOS,2015-07-02,12,5,4,1728
9640,USER0011,QD1007,IOS,2015-07-02,10,5,4,72
6471,USER0012,QD1012,移动浏览器,2015-07-02,12,2,3,576
1646,USER0013,QD1007,移动浏览器,2015-07-02,7,3,3,1728
2282,USER0014,QD1019,IOS,2015-07-03,8,5,4,1116
3256,USER0015,QD1005,IOS,2015-07-03,11,1,3,612
9791,USER0016,QD1006,IOS,2015-07-03,15,2,4,1620
3539,USER0017,QD1018,移动浏览器,2015-07-03,10,5,4,756
3381,USER0018,QD1007,移动浏览器,2015-07-03,8,1,4,1044
6672,USER0019,QD1002,Android,2015-07-04,15,3,4,1692
7093,USER0020,QD1012,Android,2015-07-04,10,1,4,1008
8364,USER0021,QD1008,IOS,2015-07-04,10,1,4,1656
9506,USER0022,QD1021,Android,2015-07-04,12,3,4,1008
4812,USER0023,QD1004,Android,2015-07-04,9,4,4,180
4976,USER0024,QD1004,Android,2015-07-04,8,2,4,432
6854,USER0025,QD1022,Android,2015-07-04,15,5,4,792
2645,USER0026,QD1009,Android,2015-07-05,14,2,4,1404
8768,USER0027,QD1002,Android,2015-07-05,7,4,4,1656
4820,USER0028,QD1007,Android,2015-07-05,13,2,4,1584
9865,USER0029,QD1012,移动浏览器,2015-07-05,7,5,4,1764
4794,USER0030,QD1018,Android,2015-07-06,9,4,4,1656
6053,USER0031,QD1004,Android,2015-07-06,14,4,5,144
8367,USER0032,QD1008,Android,2015-07-06,10,4,4,792
4026,USER0033,QD1002,IOS,2015-07-06,6,6,4,1152
3978,USER0034,QD1020,IOS,2015-07-06,13,3,5,396
1153,USER0035,QD1016,IOS,2015-07-06,6,3,4,684
5009,USER0036,QD1002,IOS,2015-07-06,13,1,4,216
8714,USER0037,QD1014,Android,2015-07-07,12,3,4,1368
6866,USER0038,QD1009,Android,2015-07-07,13,2,4,684
7287,USER0039,QD1021,IOS,2015-07-07,8,5,4,1080
9690,USER0040,QD1012,IOS,2015-07-07,10,5,5,1080
7950,USER0041,QD1004,移动浏览器,2015-07-07,7,2,4,1728
5684,USER0042,QD1007,Android,2015-07-08,12,5,4,756
7590,USER0043,QD1018,Android,2015-07-08,13,1,4,396
1782,USER0044,QD1005,IOS,2015-07-08,12,6,4,1044
8479,USER0045,QD1015,IOS,2015-07-08,8,5,4,108
7268,USER0046,QD1012,IOS,2015-07-08,13,4,4,648
7595,USER0047,QD1019,IOS,2015-07-08,9,4,4,756
8654,USER0048,QD1022,Android,2015-07-09,8,2,4,360
8008,USER0049,QD1008,Android,2015-07-09,9,5,4,396
3950,USER0050,QD1013,Android,2015-07-09,7,5,4,1224
2341,USER0051,QD1009,Android,2015-07-09,13,2,4,1008
6704,USER0052,QD1016,IOS,2015-07-09,15,2,4,648
5084,USER0053,QD1014,IOS,2015-07-09,14,3,4,1080
3086,USER0054,QD1016,IOS,2015-07-09,7,2,4,1512
6615,USER0055,QD1015,IOS,2015-07-09,6,3,4,108
1504,USER0056,QD1007,IOS,2015-07-09,6,3,4,1224
7433,USER0057,QD1012,Android,2015-07-10,6,3,4,252
3339,USER0058,QD1015,Android,2015-07-10,8,4,4,1152
5663,USER0059,QD1008,Android,2015-07-10,7,6,4,684
9634,USER0060,QD1016,Android,2015-07-10,7,2,4,396
4553,USER0061,QD1017,Android,2015-07-10,14,4,4,252
9706,USER0062,QD1006,IOS,2015-07-10,6,2,4,36
5790,USER0063,QD1010,移动浏览器,2015-07-10,7,3,4,288
6654,USER0064,QD1006,移动浏览器,2015-07-10,7,4,4,1080
8846,USER0065,QD1007,Android,2015-07-11,7,4,4,360
2244,USER0066,QD1021,IOS,2015-07-11,7,4,4,972
7354,USER0067,QD1012,Android,2015-07-11,13,5,5,1692
6338,USER0068,QD1012,Android,2015-07-11,8,5,4,864
3058,USER0069,QD1021,IOS,2015-07-11,10,3,4,324
9658,USER0070,QD1019,IOS,2015-07-11,8,1,4,1440
2697,USER0071,QD1017,IOS,2015-07-11,12,2,4,504
3997,USER0072,QD1004,IOS,2015-07-11,6,4,4,1548
5757,USER0073,QD1021,移动浏览器,2015-07-11,12,1,4,612
2460,USER0074,QD1012,IOS,2015-07-12,15,4,4,1620
5692,USER0075,QD1020,Android,2015-07-12,12,2,4,612
2443,USER0076,QD1015,IOS,2015-07-12,15,5,4,396
8457,USER0077,QD1012,IOS,2015-07-12,7,1,4,612
9571,USER0078,QD1018,移动浏览器,2015-07-12,12,1,4,612
6705,USER0079,QD1016,Android,2015-07-13,10,1,4,1296
6928,USER0080,QD1019,Android,2015-07-13,5,3,4,1476
7379,USER0081,QD1015,Android,2015-07-13,9,3,4,720
9159,USER0082,QD1012,IOS,2015-07-13,10,1,4,792
5317,USER0083,QD1020,移动浏览器,2015-07-13,15,2,4,1116
5405,USER0084,QD1015,移动浏览器,2015-07-13,7,1,4,1044
5964,USER0085,QD1015,Android,2015-07-14,11,6,4,1476
3391,USER0086,QD1003,Android,2015-07-14,7,5,4,288
9796,USER0087,QD1017,Android,2015-07-14,13,1,4,792
3283,USER0088,QD1005,Android,2015-07-14,8,6,4,648
5800,USER0089,QD1002,Android,2015-07-14,13,3,5,900
4367,USER0090,QD1019,Android,2015-07-14,9,2,4,1080
3774,USER0091,QD1009,IOS,2015-07-14,14,2,5,432
3069,USER0092,QD1020,IOS,2015-07-14,6,5,4,1404
2336,USER0093,QD1017,IOS,2015-07-14,11,4,4,360
4455,USER0094,QD1009,移动浏览器,2015-07-14,10,5,4,1080
5340,USER0095,QD1017,Android,2015-07-15,9,4,4,828
9864,USER0096,QD1006,IOS,2015-07-15,7,4,4,468
6000,USER0097,QD1018,IOS,2015-07-15,15,2,4,1224
7160,USER0098,QD1012,IOS,2015-07-15,11,3,5,900
3914,USER0099,QD1010,IOS,2015-07-15,14,4,4,1152
3451,USER0100,QD1017,IOS,2015-07-15,9,5,4,1764
6707,USER0101,QD1014,移动浏览器,2015-07-15,6,4,4,468
2345,USER0102,QD1017,移动浏览器,2015-07-15,14,6,4,1404
8089,USER0103,QD1020,移动浏览器,2015-07-15,13,6,4,252
3926,USER0104,QD1021,Android,2015-07-16,9,4,4,1008
4465,USER0105,QD1009,移动浏览器,2015-07-16,10,5,4,1008
5100,USER0106,QD1011,Android,2015-07-17,7,1,4,936
6505,USER0107,QD1021,Android,2015-07-17,12,4,4,1620
5567,USER0108,QD1011,Android,2015-07-17,8,2,4,1368
1293,USER0109,QD1015,Android,2015-07-17,9,3,4,1440
5782,USER0110,QD1022,IOS,2015-07-17,11,5,4,936
2845,USER0111,QD1013,IOS,2015-07-17,6,5,4,180
7095,USER0112,QD1018,IOS,2015-07-17,10,3,5,756
8136,USER0113,QD1001,Android,2015-07-18,5,1,4,1008
2238,USER0114,QD1016,IOS,2015-07-18,10,2,4,1656
1133,USER0115,QD1007,Android,2015-07-18,12,5,4,0
7246,USER0116,QD1018,Android,2015-07-18,14,4,4,72
1157,USER0117,QD1021,IOS,2015-07-18,6,5,4,1116
9312,USER0118,QD1004,IOS,2015-07-18,7,1,4,1188
4771,USER0119,QD1012,IOS,2015-07-19,7,4,4,1692
2153,USER0120,QD1006,Android,2015-07-19,15,1,4,504
7171,USER0121,QD1006,IOS,2015-07-19,14,1,4,1188
5895,USER0122,QD1017,IOS,2015-07-19,13,3,4,396
7421,USER0123,QD1012,移动浏览器,2015-07-19,10,2,4,792
3196,USER0124,QD1021,Android,2015-07-20,12,4,4,504
2069,USER0125,QD1018,Android,2015-07-20,12,2,4,1224
5426,USER0126,QD1020,IOS,2015-07-20,13,4,4,108
3469,USER0127,QD1001,IOS,2015-07-20,8,3,4,504
1065,USER0128,QD1018,IOS,2015-07-20,13,4,4,648
6095,USER0129,QD1010,IOS,2015-07-21,15,6,4,576
9239,USER0130,QD1016,Android,2015-07-21,6,4,4,1692
8154,USER0131,QD1002,Android,2015-07-21,9,4,4,1692
3566,USER0132,QD1015,Android,2015-07-22,5,2,4,1584
4778,USER0133,QD1009,IOS,2015-07-22,8,2,4,1188
4061,USER0134,QD1015,移动浏览器,2015-07-22,13,3,4,1044
1180,USER0135,QD1021,IOS,2015-07-23,5,2,5,576
6492,USER0136,QD1018,Android,2015-07-23,9,3,4,1008
5987,USER0137,QD1002,Android,2015-07-23,7,2,4,432
6228,USER0138,QD1007,Android,2015-07-23,9,3,4,432
8096,USER0139,QD1004,Android,2015-07-23,7,3,4,432
3155,USER0140,QD1020,IOS,2015-07-23,14,4,4,360
8841,USER0141,QD1011,IOS,2015-07-23,12,1,4,0
1183,USER0142,QD1005,IOS,2015-07-24,12,5,4,1116
5345,USER0143,QD1022,IOS,2015-07-24,6,5,4,1116
1326,USER0144,QD1014,移动浏览器,2015-07-24,14,3,5,1440
3026,USER0145,QD1012,移动浏览器,2015-07-24,10,6,4,36
2019,USER0146,QD1011,Android,2015-07-25,10,4,4,720
7347,USER0147,QD1003,IOS,2015-07-25,8,2,4,936
4773,USER0148,QD1011,Android,2015-07-25,11,2,4,540
5487,USER0149,QD1017,IOS,2015-07-25,14,2,4,612
5200,USER0150,QD1020,IOS,2015-07-25,11,5,4,1476
4361,USER0151,QD1002,IOS,2015-07-25,14,5,4,936
4834,USER0152,QD1005,IOS,2015-07-25,12,6,4,972
3428,USER0153,QD1010,Android,2015-07-26,8,4,4,1368
3898,USER0154,QD1018,Android,2015-07-26,14,2,4,1044
6644,USER0155,QD1003,IOS,2015-07-26,12,1,4,1764
8721,USER0156,QD1001,Android,2015-07-26,11,1,4,1728
9205,USER0157,QD1018,Android,2015-07-26,12,4,4,1152
3786,USER0158,QD1001,移动浏览器,2015-07-26,6,4,4,1656
4749,USER0159,QD1007,Android,2015-07-27,7,3,4,1404
7934,USER0160,QD1007,IOS,2015-07-27,5,3,4,1512
8575,USER0161,QD1013,Android,2015-07-27,15,4,4,1080
1188,USER0162,QD1005,Android,2015-07-27,12,2,4,36
7302,USER0163,QD1018,Android,2015-07-27,11,5,4,792
2020,USER0164,QD1010,IOS,2015-07-27,11,5,4,1080
2741,USER0165,QD1012,IOS,2015-07-27,14,2,4,1764
4175,USER0166,QD1002,IOS,2015-07-27,6,2,4,72
7709,USER0167,QD1003,移动浏览器,2015-07-27,8,5,4,684
4922,USER0168,QD1018,Android,2015-07-28,7,3,4,216
5974,USER0169,QD1012,IOS,2015-07-28,12,6,4,108
7248,USER0170,QD1019,移动浏览器,2015-07-28,8,1,4,1548
4362,USER0171,QD1003,移动浏览器,2015-07-28,14,5,4,72
4532,USER0172,QD1018,Android,2015-07-29,5,5,4,1368
8828,USER0173,QD1010,Android,2015-07-29,6,2,4,1440
